Designator,Mid X,Mid Y,Rotation,Layer
C1,39.75,2.5,90.0,top
C10,24.25,34.98,270.0,top
C11,26.5,48.5,180.0,top
C12,35.325,46.25,90.0,top
C14,26.0,34.98,270.0,top
C15,28.48,35.0,180.0,top
C16,30.25,35.02,90.0,top
C17,31.52,43.5,180.0,top
C18,23.52,42.5,270.0,top
C19,23.25,39.0,180.0,top
C2,12.25,31.25,0.0,top
C21,22.02,42.0,0.0,top
C22,22.02,43.0,0.0,top
C23,23.25,38.0,180.0,top
C24,22.02,44.0,0.0,top
C25,22.02,45.0,0.0,top
C26,29.25,32.05,90.0,top
C27,25.25,32.03,90.0,top
C3,15.0,40.0,90.0,top
C4,16.5,36.75,270.0,top
C5,34.52,7.0,180.0,top
C6,34.52,8.0,0.0,top
C7,19.0,39.0,270.0,top
C8,20.5,35.75,90.0,top
C9,40.0,46.25,90.0,top
D1,47.25,39.0,180.0,top
D2,38.7875,43.75,180.0,top
D3,35.75,3.75,180.0,top
D4,40.0,30.75,270.0,top
D5,43.75,38.0,180.0,top
D6,42.0,40.25,0.0,top
D7,40.0,33.25,90.0,top
H1,46.0,46.0,0.0,top
J1,46.0,32.0,90.0,top
J2,5.0,45.0,90.0,top
J3,5.0,35.0,90.0,top
J4,45.25,5.0,270.0,top
J5,34.75,31.52,0.0,top
L1,17.0,39.5,180.0,top
L2,18.5,36.25,180.0,top
L3,20.52,42.5,90.0,top
L4,27.75,34.07,0.0,top
R1,47.25,40.5,180.0,top
R10,20.49,31.25,180.0,top
R11,22.5,31.25,0.0,top
R12,20.75,47.5,90.0,top
R13,33.945,42.0,90.0,top
R14,32.945,42.0,90.0,top
R15,32.975,39.25,90.0,top
R2,35.835,43.75,0.0,top
R3,40.0,28.75,90.0,top
R4,40.0,35.25,270.0,top
R5,15.225,32.75,0.0,top
R6,15.235,33.75,180.0,top
R7,19.725,33.75,0.0,top
R8,19.725,32.75,180.0,top
R9,29.0,48.5,180.0,top
SW1,17.0,47.5,0.0,top
SW2,27.75,46.0,180.0,top
TP1,12.7125,39.375,90.0,top
TP10,42.0,44.25,0.0,top
TP11,33.075,46.02,0.0,top
TP12,31.25,14.5,180.0,top
TP13,31.25,21.25,180.0,top
TP14,31.25,16.75,180.0,top
TP15,31.25,19.0,180.0,top
TP2,14.4625,36.125,90.0,top
TP3,11.75,44.75,180.0,top
TP4,15.75,44.0,90.0,top
TP5,17.475,33.25,90.0,top
TP6,11.75,47.25,180.0,top
TP7,18.275,44.0,90.0,top
TP8,21.0,39.5,90.0,top
TP9,22.5,36.25,90.0,top
U1,15.65,15.9,0.0,top
U2,40.25,17.0,0.0,top
U3,37.575,46.25,270.0,top
U4,28.0,39.75,180.0,top
Y1,27.25,32.05,180.0,top
